period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units
2019-11,59167,Lancaster Solar 1,SUN,Solar,CA,California,PV,186.26,megawatthours
2019-11,59169,Lancaster Solar 2,SUN,Solar,CA,California,ALL,186.04,megawatthours
2019-11,59169,Lancaster Solar 2,SUN,Solar,CA,California,PV,186.04,megawatthours
2019-11,59182,Hesperia,SUN,Solar,CA,California,ALL,167.07,megawatthours
2019-11,59182,Hesperia,SUN,Solar,CA,California,PV,167.07,megawatthours
2019-11,60914,Westmont 300B,SUN,Solar,CA,California,ALL,293.15,megawatthours
2019-11,60914,Westmont 300B,SUN,Solar,CA,California,PV,293.15,megawatthours
2019-11,59380,"Wildwood Solar I, LLC",SUN,Solar,CA,California,ALL,2746.91,megawatthours
2019-11,59380,"Wildwood Solar I, LLC",SUN,Solar,CA,California,PV,2746.91,megawatthours
2021-03,10439,SEGS III,SUN,Solar,CA,California,ALL,0.0,megawatthours
2021-03,10439,SEGS III,SUN,Solar,CA,California,ST,0.0,megawatthours
2021-03,10440,SEGS IV,SUN,Solar,CA,California,ALL,0.0,megawatthours
2021-03,10440,SEGS IV,SUN,Solar,CA,California,ST,0.0,megawatthours
